User_ID,Strategy,MAE,RMSE
A2XCLJRGFANRC,Hybrid,2.651114907066449,2.672412653011327
A2XCLJRGFANRC,Content-based,4.89106829999502,4.900962049905745
A1KDGSZEJXSE9S,SVD,3.0107226618694476,3.292192119501409
A1KDGSZEJXSE9S,Hybrid,1.2440329855213101,1.604962026166438
A1KDGSZEJXSE9S,Content-based,3.053110970077677,3.339014046071807
ADEJNRAT95LWV,SVD,4.55905586213979,4.61300303800978
ADEJNRAT95LWV,Hybrid,2.447996242938836,2.5387130538357665
ADEJNRAT95LWV,Content-based,4.5623616540347385,4.616403762426816
A20LK1LAVKME10,SVD,4.496081157876678,4.537589958333518
A20LK1LAVKME10,Hybrid,2.2837249152094117,2.3610352574072686
A20LK1LAVKME10,Content-based,4.499843246315066,4.541320055227925
A3AHVZM2SMJTBK,SVD,3.839430156165122,3.9902976612784893
A3AHVZM2SMJTBK,Hybrid,1.6894262841869823,1.9567638990308076
A3AHVZM2SMJTBK,Content-based,3.8627713161784984,4.016056481281975
A20FCDYJBFBHW0,SVD,4.968518163777209,4.9687600845362025
A20FCDYJBFBHW0,Hybrid,2.7034400277756596,2.705923594754555
A20FCDYJBFBHW0,Content-based,4.999089617997215,4.999089818214672
ASN0V3QNMC296,SVD,4.537734127483621,4.610770747601931
ASN0V3QNMC296,Hybrid,2.4317801899371214,2.4862146367072286
ASN0V3QNMC296,Content-based,4.570465873030144,4.6435346774348
A2MFNDNS1L7D16,SVD,3.7309256539098796,3.835488678275655
A2MFNDNS1L7D16,Hybrid,1.6638451233654088,1.8359630668558173
A2MFNDNS1L7D16,Content-based,3.79412850222348,3.8953783832093563
A2FBOL36JONUGO,SVD,3.6114635064813796,3.803376601782103
A2FBOL36JONUGO,Hybrid,1.5344890369978372,1.8684994091892153
A2FBOL36JONUGO,Content-based,3.635251849235822,3.8247537142847943
AYS2Z6SZJ0DUV,SVD,4.22917319284338,4.34654567077729
AYS2Z6SZJ0DUV,Hybrid,2.1133398746766914,2.310586928406554
AYS2Z6SZJ0DUV,Content-based,4.23499163202937,4.351868702609721
ACZ9DOXNXGMJP,SVD,4.19991966189007,4.288807308430704
ACZ9DOXNXGMJP,Hybrid,2.10790554761945,2.2686687163160824
ACZ9DOXNXGMJP,Content-based,4.22128965497471,4.306819434110145
A2TE32FQVDH39,SVD,4.976079443716426,4.976531301411232
A2TE32FQVDH39,Hybrid,2.802008258611892,2.8081772582543536
A2TE32FQVDH39,Content-based,4.999043177748657,4.999043897432527
A3U0ER6TKM83C8,SVD,4.5675478269534215,4.643143541038257
A3U0ER6TKM83C8,Hybrid,2.553583088091194,2.6525494172383004
A3U0ER6TKM83C8,Content-based,4.588954197550933,4.66525971741835
ABUPJ0WEFPOYR,SVD,3.697221414608995,3.8080030221201273
ABUPJ0WEFPOYR,Hybrid,1.766259140476716,1.9061805972794614
ABUPJ0WEFPOYR,Content-based,3.86887206038996,3.987669437220854
AY43C57I0BGAJ,SVD,4.874002283712572,4.8979988019196705
AY43C57I0BGAJ,Hybrid,2.5362596942426188,2.585741189584865
AY43C57I0BGAJ,Content-based,4.874958958296001,4.898939145026305
A6N14MTMJRPJI,SVD,4.557361266743182,4.661702181201684
A6N14MTMJRPJI,Hybrid,2.622310820196504,2.6980090988350507
A6N14MTMJRPJI,Content-based,4.586247355016404,4.690016925431327
A11XKY4EIU2KNR,SVD,3.677355712869837,3.983800554578449
A11XKY4EIU2KNR,Hybrid,1.9968806555850638,2.227474710074724
A11XKY4EIU2KNR,Content-based,3.736938190953488,4.0378151887267
A3L21A8CJ4CUTC,SVD,4.670132398119991,4.743741150458559
A3L21A8CJ4CUTC,Hybrid,2.61943493512472,2.6589864584188185
A3L21A8CJ4CUTC,Content-based,4.736830500227188,4.811552179193587
A30JORK6GIZDSX,SVD,4.9847234438055805,4.9847999124329645
A30JORK6GIZDSX,Hybrid,2.800399924793226,2.803722093500322
A30JORK6GIZDSX,Content-based,4.999694468876111,4.999694499372206
A1FNES0QEBJZD1,SVD,4.225306137175656,4.28204994767781
A1FNES0QEBJZD1,Hybrid,2.0598463632466246,2.1675170789087246
A1FNES0QEBJZD1,Content-based,4.2941255639784295,4.3524247046575315
A1DPR4MHOB4KWC,SVD,3.696242545877678,3.828742520122185
A1DPR4MHOB4KWC,Hybrid,1.667537424112211,1.876897703543595
A1DPR4MHOB4KWC,Content-based,3.872680978220354,3.9763727968950415
A161ANWB62G3M8,SVD,4.3615393311595385,4.444435523983033
A161ANWB62G3M8,Hybrid,2.251672455500141,2.3588450151177125
A161ANWB62G3M8,Content-based,4.391546030830219,4.471583333647369
A20UXTMTBFL06P,SVD,4.8573602858616365,4.868852451126178
A20UXTMTBFL06P,Hybrid,2.6893094661481953,2.713478058025199
A20UXTMTBFL06P,Content-based,4.874496008167475,4.8857088899802354
A3KFOUVQBIIL6Z,SVD,3.241231946197894,3.448714126828008
A3KFOUVQBIIL6Z,Hybrid,1.5612681584200636,1.7225119909381839
A3KFOUVQBIIL6Z,Content-based,3.2493864768288114,3.456302506068773
A2VGEPVBTMPUDU,SVD,4.507607597165896,4.637974866855049
A2VGEPVBTMPUDU,Hybrid,2.4993638533642604,2.6075214490227467
A2VGEPVBTMPUDU,Content-based,4.523264848309479,4.654182850040809
A1ZTSOBAPOWT3,SVD,3.6724454356853458,3.9996925175321945
A1ZTSOBAPOWT3,Hybrid,2.0708030712016092,2.3142159242924
A1ZTSOBAPOWT3,Content-based,3.759141910405984,4.080854845734161
AII1IQT6OBJJ,SVD,4.478354971329027,4.5947776043766515
AII1IQT6OBJJ,Hybrid,2.6018748384251005,2.7304073317008317
AII1IQT6OBJJ,Content-based,4.752838517906226,4.80849933050458
A32054N42263IH,SVD,3.1601569354924757,3.335058769209963
A32054N42263IH,Hybrid,1.2218335392414288,1.5331734191865958
A32054N42263IH,Content-based,3.2207142495543684,3.3881700152853744
A1TQBPDIBIWWVG,SVD,3.8759545853301463,4.208754055994777
A1TQBPDIBIWWVG,Hybrid,2.167594397350693,2.293482143869857
A1TQBPDIBIWWVG,Content-based,3.8820259568280164,4.214518865206748
A1J3YHT701F3YR,SVD,4.868644683531888,4.888060568641163
A1J3YHT701F3YR,Hybrid,2.7218746301303494,2.7466987749162377
A1J3YHT701F3YR,Content-based,4.903557997387571,4.922000257007814
A2Z13QAST1E7Q9,SVD,4.937981903880044,4.943298444279505
A2Z13QAST1E7Q9,Hybrid,2.646196389124662,2.655659989434108
A2Z13QAST1E7Q9,Content-based,4.944185942821868,4.949489408824042
A2OU415LB9I5J6,SVD,3.9917540439121804,4.086719065011085
A2OU415LB9I5J6,Hybrid,2.0159959066282007,2.1518999816141386
A2OU415LB9I5J6,Content-based,4.0702395106713585,4.164975145820184
A2EKIE8ATFNAWU,SVD,4.7468300581820895,4.844486195938914
A2EKIE8ATFNAWU,Hybrid,2.6380730479342764,2.6676533212110387
A2EKIE8ATFNAWU,Content-based,4.749873202327284,4.847552092193711
A21VM98A8XXFMM,SVD,4.983639551731595,4.98367597763939
A21VM98A8XXFMM,Hybrid,2.9294505262980426,2.9352601396924305
A21VM98A8XXFMM,Content-based,4.999345582069264,4.999345640167831
A1FZKP9XTKMALD,SVD,3.5798369244667168,3.773865622165285
A1FZKP9XTKMALD,Hybrid,1.7720843860383377,1.9799606553391014
A1FZKP9XTKMALD,Content-based,3.5902797837536937,3.783359777513114
A2QAWS4YB3V5NP,SVD,4.308681936721297,4.3336955459972195
A2QAWS4YB3V5NP,Hybrid,2.345474443418507,2.417436208198145
A2QAWS4YB3V5NP,Content-based,4.312323800937874,4.337169250192556
A25HIZKN80O2PG,SVD,4.498395481948632,4.688736364818273
A25HIZKN80O2PG,Hybrid,2.474426509146652,2.5415071032909817
A25HIZKN80O2PG,Content-based,4.499933073364992,4.6903450900447545
AYP5082JDMAHL,SVD,4.773865992523455,4.811534722932655
AYP5082JDMAHL,Hybrid,2.5556649014869657,2.6316165540226173
AYP5082JDMAHL,Content-based,4.799058584273811,4.836416770479461
A21KS1Q6XQ7IM0,SVD,4.045195556633084,4.0994255842119625
A21KS1Q6XQ7IM0,Hybrid,1.9861047128021132,2.077771068923424
A21KS1Q6XQ7IM0,Content-based,4.082048350790674,4.14165066337989
